Category: All categories

Week,bang: (United States)
2022-03-06,89
2022-03-13,89
2022-03-20,91
2022-03-27,88
2022-04-03,90
2022-04-10,92
2022-04-17,87
2022-04-24,89
2022-05-01,84
2022-05-08,83
2022-05-15,90
2022-05-22,83
2022-05-29,87
2022-06-05,82
2022-06-12,82
2022-06-19,87
2022-06-26,88
2022-07-03,94
2022-07-10,90
2022-07-17,87
2022-07-24,88
2022-07-31,89
2022-08-07,88
2022-08-14,93
2022-08-21,89
2022-08-28,88
2022-09-04,90
2022-09-11,88
2022-09-18,89
2022-09-25,82
2022-10-02,85
2022-10-09,97
2022-10-16,100
2022-10-23,87
2022-10-30,89
2022-11-06,88
2022-11-13,89
2022-11-20,83
2022-11-27,88
2022-12-04,86
2022-12-11,85
2022-12-18,88
2022-12-25,95
2023-01-01,91
2023-01-08,96
2023-01-15,97
2023-01-22,92
2023-01-29,88
2023-02-05,87
2023-02-12,84
2023-02-19,93
